,S&P,divs_annualized
1/1/1900,6.1,0.22
2/1/1900,6.21,0.23
3/1/1900,6.26,0.23
4/1/1900,6.34,0.24
5/1/1900,6.04,0.25
6/1/1900,5.86,0.26
7/1/1900,5.86,0.26
8/1/1900,5.94,0.27
9/1/1900,5.8,0.28
10/1/1900,6.01,0.29
11/1/1900,6.48,0.29
12/1/1900,6.87,0.30
1/1/1901,7.07,0.30
2/1/1901,7.25,0.30
3/1/1901,7.51,0.31
4/1/1901,8.14,0.31
5/1/1901,7.73,0.31
6/1/1901,8.5,0.31
7/1/1901,7.93,0.31
8/1/1901,8.04,0.31
9/1/1901,8,0.32
10/1/1901,7.91,0.32
11/1/1901,8.08,0.32
12/1/1901,7.95,0.32
1/1/1902,8.12,0.32
2/1/1902,8.19,0.32
3/1/1902,8.2,0.32
4/1/1902,8.48,0.32
5/1/1902,8.46,0.32
6/1/1902,8.41,0.33
7/1/1902,8.6,0.33
8/1/1902,8.83,0.33
9/1/1902,8.85,0.33
10/1/1902,8.57,0.33
11/1/1902,8.24,0.33
12/1/1902,8.05,0.33
1/1/1903,8.46,0.33
2/1/1903,8.41,0.33
3/1/1903,8.08,0.34
4/1/1903,7.75,0.34
5/1/1903,7.6,0.34
6/1/1903,7.18,0.34
7/1/1903,6.85,0.34
8/1/1903,6.63,0.34
9/1/1903,6.47,0.35
10/1/1903,6.26,0.35
11/1/1903,6.28,0.35
12/1/1903,6.57,0.35
1/1/1904,6.68,0.35
2/1/1904,6.5,0.34
3/1/1904,6.48,0.34
4/1/1904,6.64,0.34
5/1/1904,6.5,0.33
6/1/1904,6.51,0.33
7/1/1904,6.78,0.33
8/1/1904,7.01,0.32
9/1/1904,7.32,0.32
10/1/1904,7.75,0.32
11/1/1904,8.17,0.31
12/1/1904,8.25,0.31
1/1/1905,8.43,0.31
2/1/1905,8.8,0.31
3/1/1905,9.05,0.32
4/1/1905,8.94,0.32
5/1/1905,8.5,0.32
6/1/1905,8.6,0.32
7/1/1905,8.87,0.32
8/1/1905,9.2,0.32
9/1/1905,9.23,0.33
10/1/1905,9.36,0.33
